"info_id","emp_id","number_consumers","dishes_count","accounts_payable","use_start_time","lock_time","order_status","phone","name"
417,1442,4,5,165,"2016/8/1 11:05:36","2016/8/1 11:11:46",1,18688880641,"√Á”Ó‚˘"
301,1095,3,6,321,"2016/8/1 11:15:57","2016/8/1 11:31:55",1,18688880174,"’‘”±"
413,1147,6,15,854,"2016/8/1 12:42:52","2016/8/1 12:54:37",1,18688880276,"–Ï“„∑≤"
415,1166,4,10,466,"2016/8/1 12:51:38","2016/8/1 13:08:20",1,18688880231,"’≈¥Û≈Ù"
392,1094,10,24,704,"2016/8/1 12:58:44","2016/8/1 13:07:16",1,18688880173,"ÀÔŒıø≠"
381,1243,4,7,239,"2016/8/1 13:15:42","2016/8/1 13:23:42",1,18688880441,"…Úœ˛ˆ©"
429,1452,4,15,699,"2016/8/1 13:17:37","2016/8/1 13:34:18",1,18688880651,"√Á‘Û¿§"
433,1109,8,14,511,"2016/8/1 13:38:27","2016/8/1 13:50:16",1,18688880212,"¿Ó¥Ô√˜"
569,1143,6,9,326,"2016/8/1 17:06:20","2016/8/1 17:18:20",1,18688880272,"≥¬”–∫∆"
655,1268,8,10,263,"2016/8/1 17:32:27","2016/8/1 17:44:27",1,18688880466,"…Úµ§µ§"
577,1150,7,7,380,"2016/8/1 17:37:07","2016/8/1 17:50:02",1,18688880279,"∫˙Ïœ"
622,1220,4,7,164,"2016/8/1 17:40:18","2016/8/1 17:47:08",1,18688880419,"–Ïø•Ã´"
651,1593,3,5,137,"2016/8/1 18:12:20","2016/8/1 18:20:12",1,18688880792,"∏ﬂŸ“Õ©"
694,1122,8,10,819,"2016/8/1 18:26:27","2016/8/1 18:37:27",1,18688880316,"÷ÏÓ⁄"
462,1187,7,13,431,"2016/8/1 18:45:27","2016/8/1 18:49:42",1,18688880366,"ÀÔ–¬‰Ï"
458,1455,2,14,700,"2016/8/1 19:27:29","2016/8/1 19:31:41",1,18688880654,"≈£≥§Ω"
562,1552,8,7,366,"2016/8/1 19:44:56","2016/8/1 19:57:51",1,18688880751,"ÕıºŒúB"
486,1156,7,12,443,"2016/8/1 20:31:37","2016/8/1 20:36:28",1,18688880285,"’≈∑º”Ô"
517,1008,2,7,294,"2016/8/1 21:11:44","2016/8/1 21:21:12",1,18688880027,"–Ì∫Õ‚˘"
452,1114,8,7,167,"2016/8/1 21:19:16","2016/8/1 21:29:48",1,18688880193,"…€Í≈–¶"
448,1449,6,14,609,"2016/8/1 21:37:26","2016/8/1 21:52:56",1,18688880648,"√Á«Ô¿º"
193,1084,3,8,238,"2016/8/2 11:20:59","2016/8/2 11:33:41",1,18688880163,"’≈æ∏ˆ©"
166,986,2,7,260,"2016/8/2 11:22:19","2016/8/2 11:30:19",1,18688880005,"ƒ™◊”Ω®"
342,1450,2,5,109,"2016/8/2 11:58:57","2016/8/2 12:10:08",1,18688880649,"√Áº“≥©"
260,990,4,9,302,"2016/8/2 12:35:59","2016/8/2 12:53:59",1,18688880009,"’≈•”Í"
367,1119,4,13,639,"2016/8/2 12:58:38","2016/8/2 13:17:56",1,18688880198,"øµ—≈–¿"
368,1125,4,6,211,"2016/8/2 13:08:42","2016/8/2 13:22:42",1,18688880317,"÷‹◊”–˘"
365,992,2,6,146,"2016/8/2 13:19:35","2016/8/2 13:29:35",1,18688880011,"Ω™ÍœÍ≈"
171,1463,3,10,299,"2016/8/2 13:51:18","2016/8/2 14:00:49",1,18688880662,"∑∂–°›Ê"
631,1188,4,6,168,"2016/8/2 17:57:15","2016/8/2 18:00:34",1,18688880367,"“¶¿ˆ"
650,1212,3,15,498,"2016/8/2 18:19:12","2016/8/2 18:27:12",1,18688880411,"∫˙—Ô"
734,1278,2,5,184,"2016/8/2 18:20:57","2016/8/2 18:27:57",1,18688880476,"∫˙ÏœÙÀ"
548,1103,6,9,850,"2016/8/2 18:55:53","2016/8/2 19:07:37",1,18688880182,"’‘÷¬‘∂"
574,1115,6,10,546,"2016/8/2 19:00:11","2016/8/2 19:06:35",1,18688880194,"ÀÔ—©¿◊"
719,1162,2,7,306,"2016/8/2 19:22:22","2016/8/2 19:38:22",1,18688880291,"’‘√œ¥∫"
585,1181,4,10,659,"2016/8/2 20:14:16","2016/8/2 20:25:16",1,18688880360,"‘¨º—”Ò"
613,1451,3,9,379,"2016/8/2 21:00:51","2016/8/2 21:10:51",1,18688880650,"√Á–¿‘√"
688,1157,5,8,332,"2016/8/2 21:04:30","2016/8/2 21:18:30",1,18688880286,"’‘ﬁ»ø•"
491,1169,6,8,134,"2016/8/2 21:36:21","2016/8/2 21:54:21",1,18688880298,"ÀÔÓÏ‰™"
432,1175,2,6,269,"2016/8/3 12:52:11","2016/8/3 13:10:51",1,18688880354,"¿ÓπÈ≥ "
177,1141,2,4,137,"2016/8/3 12:56:20","2016/8/3 13:00:17",1,18688880270,"∫˙æÿ“Á"
320,1538,3,7,457,"2016/8/3 13:03:19","2016/8/3 13:18:46",1,18688880737,"≤Ã”ÍÕ©"
317,1091,5,13,523,"2016/8/3 13:06:46","2016/8/3 13:12:46",1,18688880170,"Œ∫÷¬‘∂"
281,997,4,21,394,"2016/8/3 13:51:21","2016/8/3 14:09:05",1,18688880016,"–Ï◊”–˘"
137,1248,4,9,197,"2016/8/3 14:01:13","2016/8/3 14:05:29",1,18688880446,"∫˙∏ÇÃŒ"
670,1570,10,18,580,"2016/8/3 17:10:07","2016/8/3 17:28:07",1,18688880769,"ÕıœÈ“µ"
776,1204,8,18,760,"2016/8/3 17:31:46","2016/8/3 17:47:46",1,18688880403,"∫˙”˛Œƒ"
492,1129,9,3,301,"2016/8/3 18:14:15","2016/8/3 18:32:15",1,18688880258,"∫˙“’∑∆"
615,1261,10,8,343,"2016/8/3 18:51:13","2016/8/3 18:56:13",1,18688880459,"ÀÔ”ÍœË"
749,1139,8,16,718,"2016/8/3 19:47:15","2016/8/3 20:01:39",1,18688880268,"√œ–°Ω‹"
